sku,combined_description
75-1369L,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
561-3668BK,<ul><li>Improve visibility while on the road and enhance the esthetics of your motorcycle</li><li>Machined from billet aluminum and then anodized</li><li>Incorporates anti-glare glass to ensure maximum safety for the rider</li><li>Adjustable in both inclination and height</li></ul>
75-1369M,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
561-9739BK,"<ul><li>The front fender is minimalist and chic in style.</li><li>Machined Billet Aluminum, indicated by the surface texture and exclusive finish to this method of work.</li><li>Anodized Black and Silver for the supports, which gives a touch of elegance to the piece.</li><li>It retains the original anchor points so that it is easily interchangeable with the original and fits snugly against the motorcycle's attachment points.</li><li>Supplied with the necessary parts for installation and detailed step-by-step installation instructions, no mechanical knowledge or previous experience is required to install it.</li></ul>"
75-1369S,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
75-1369X,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
561-9742BK,<ul><li>Switch up your levers with Puig Heritage levers</li><li>Adapter available for Chiefs & Scouts</li></ul>
75-13702X,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
561-9743BK,<ul><li>Switch up your levers with Puig Heritage levers</li><li>Adapter available for Chiefs & Scouts</li></ul>
75-1370L,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
561-9745BK,<ul><li>Adaptors machined from a high-performance Ergal 7075 aluminum block and black anodized.</li><li>Use with any Puig footpegs</li></ul>
75-1370M,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
75-1370S,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
75-1370X,"Regardless of where you tear it up; track, canyon, or urban wasteland, the Scorpion EXO-R1 Air was designed, engineered and tested to meet the demands of Moto GP® and World Superbike® racing, while providing features that benefit every rider!

Features:
<ul><li>DOT-218 / ECE Approved</li><li>Multi-layered Ultra-TCT® shell combines fiberglass, aramid and poly-resin fibers which minimize weight while maximizing strength and impact dispersal</li><li>Aero-tuned shell sculpture helps reduce aerodynamic drag, improve balance, and maximize mobility</li><li>Advanced multi-layer EPS provides superior energy absorption and channels for increased airflow</li><li>Aero-Tuned ventilation features a Ram-Air intake system, 4 port exhaust spoiler system and EPS channels for an optimal flow-thru effect</li><li>Optically superior Clear MaxVision® Pinlock-Ready® face shield installed. Anti-scratch coated and offers 95% UV-A & UV-B protection</li><li>Elliptec® II quick-release face shield mechanism with integrated center lock provides a superior shield-to-gasket seal</li><li>FREE Additional dark smoke MaxVision® Pinlock® face shield and Pinlock® anti-fog insert included</li><li>Removable/washable KwikWick® III interior keeps you cool, dry and comfortable</li><li>Airfit® inflation adjustment system provides a custom fit to your cheek pads, also reducing wind noise and lift</li><li>3D contoured, Kwikfit® cheek pads allow easy access for most eye glasses</li><li>EMT-friendly, emergency release cheek pads</li><li>Integrated speaker pockets to accommodate BlueTooth® communication system speakers</li><li>Breath Deflector included for enhanced fog-free performance</li><li>Aero Skirt (Chin Curtain) included to help reduce wind noise</li><li>Titanium Double D-Rings</li><li>5 Year Warranty</li></ul>"
561-DGG002BK,<ul><li>Made of Polished Stainless Steel or Textured Black.</li><li>Designed for off-road protection</li><li>Offers options for mounting supplemental lighting or other accessories</li><li>The Standard model & the Mustache model can incorporate deflectors to protect the legs from the air and stones from the road.</li></ul>
561-DGG0042BK,<ul><li>Made of Polished Stainless Steel or Textured Black.</li><li>Designed for off-road protection</li><li>Offers options for mounting supplemental lighting or other accessories</li><li>The Standard model & the Mustache model can incorporate deflectors to protect the legs from the air and stones from the road.</li></ul>
561-RSD003C,"<ul><li>Customacces offers the necessary hardware together with visual assembly instructions.</li><li>Secure miles without fatigue with the CustomAcces Soft sissybar. Its black upholstery fits perfectly with the standard seats of this custom, with 100% American essence and desire for many journeys.</li><li>Make your passenger feel safe, secure and comfortable with this oversized and comfortable sissybar. No matter the size, your passenger will be able to handle anything.</li></ul>"
75-16522X,"The Creators of the original bad-ass Covert Motorcycle Helmet has now developed a full-face version, the Covert FX! The Covert FX displays the same edgy style and function that is expected from the ScorpionEXO® Covert Series.  However stylish the details may be, they have important function. Each helmet is carefully hand crafted using the latest Fiberglass, Aramid and Polyresin fibers which provide superior strength and extreme light weight. The low-profile shell has been aerodynamically tuned for motorcycle riding, minimizing both lift and turbulence for a smoother, quieter, and more stable ride. Integrated speaker pockets make it easy to install your favorite Bluetooth® communication device, while the KwikWick-C comfort Liner features a moisture wicking material that will keep you cool, dry and comfortable during your ride. ScorpionEXO® continues to set the standard when it comes to Value in a motorcycle helmet by including a Free Dark Smoke Shield, as well as a Clear shield, right out of the box. If you’re looking for a Stylish and Functional motorcycle helmet that’s perfect for both city commutes and long-distance touring, look no further than the Covert FX.

Features:
<ul><li>Extremely lightweight TCT-Ultra™ Composite shell provides superior strength and impact dispersal properties</li><li>CAD-refined aerodynamics result in a streamlined profile and balanced footprint, minimizing both lift and turbulence for a smoother, quieter, and more stable ride</li><li>Advanced multi-layer EPS provides superior energy absorption</li><li>Equipped with U.S. DOT Certification and the ECE 22.06 Safety standard, which requires a wider range of testing than the previous 22.05 certification</li><li>Aero-tuned ventilation system features closeable intake vents on top help force cool air in, while exhaust vents maximize movement of hot air out of the helmet</li><li>Dual Position mouth vent allows the 1st position to act as a defroster and 2nd position acts as defroster & ventilation (closeable from the inside)</li><li>Strategically placed channels throughout the EPS foam provide increased airflow</li><li>KwikWick® III Comfort Liner features a moisture wicking liner fabric that keeps you cool and dry in warm weather, and warm in cool weather. Liner Kit is easily removable and washable</li><li>KwikFit® 3D sculpted cheek pads accommodate most eyeglasses</li><li>Scorpion EXO’s face shield ratchet system pulls the shield securely against the eye port, ensuring a proper seal</li><li>EverClear® face shield offers state-of-the-art fog-free technology and 95% UV-A & UV-B protection</li><li>Optically superior face shield features a shatter resistant, Anti-Scratch hardened coating</li><li>FREE Additional Dark Smoke Everclear® fog-free face shield included. (Pinlock® face shields sold separately)</li><li>Tool-less face shield removal system</li><li>Comm-Ready speaker pockets allow for easily installation of your favorite Bluetooth® communication system speakers</li><li>Optional Thinner and Thicker cheek pads available to help optimize fit (sold separately)</li><li>Reflective material incorporated into the cheek pads for increased night time visibility</li><li>Included solid neoprene aero skirt (chin curtain) helps reduce wind noise</li></ul>"
75-16523X,"The Creators of the original bad-ass Covert Motorcycle Helmet has now developed a full-face version, the Covert FX! The Covert FX displays the same edgy style and function that is expected from the ScorpionEXO® Covert Series.  However stylish the details may be, they have important function. Each helmet is carefully hand crafted using the latest Fiberglass, Aramid and Polyresin fibers which provide superior strength and extreme light weight. The low-profile shell has been aerodynamically tuned for motorcycle riding, minimizing both lift and turbulence for a smoother, quieter, and more stable ride. Integrated speaker pockets make it easy to install your favorite Bluetooth® communication device, while the KwikWick-C comfort Liner features a moisture wicking material that will keep you cool, dry and comfortable during your ride. ScorpionEXO® continues to set the standard when it comes to Value in a motorcycle helmet by including a Free Dark Smoke Shield, as well as a Clear shield, right out of the box. If you’re looking for a Stylish and Functional motorcycle helmet that’s perfect for both city commutes and long-distance touring, look no further than the Covert FX.

Features:
<ul><li>Extremely lightweight TCT-Ultra™ Composite shell provides superior strength and impact dispersal properties</li><li>CAD-refined aerodynamics result in a streamlined profile and balanced footprint, minimizing both lift and turbulence for a smoother, quieter, and more stable ride</li><li>Advanced multi-layer EPS provides superior energy absorption</li><li>Equipped with U.S. DOT Certification and the ECE 22.06 Safety standard, which requires a wider range of testing than the previous 22.05 certification</li><li>Aero-tuned ventilation system features closeable intake vents on top help force cool air in, while exhaust vents maximize movement of hot air out of the helmet</li><li>Dual Position mouth vent allows the 1st position to act as a defroster and 2nd position acts as defroster & ventilation (closeable from the inside)</li><li>Strategically placed channels throughout the EPS foam provide increased airflow</li><li>KwikWick® III Comfort Liner features a moisture wicking liner fabric that keeps you cool and dry in warm weather, and warm in cool weather. Liner Kit is easily removable and washable</li><li>KwikFit® 3D sculpted cheek pads accommodate most eyeglasses</li><li>Scorpion EXO’s face shield ratchet system pulls the shield securely against the eye port, ensuring a proper seal</li><li>EverClear® face shield offers state-of-the-art fog-free technology and 95% UV-A & UV-B protection</li><li>Optically superior face shield features a shatter resistant, Anti-Scratch hardened coating</li><li>FREE Additional Dark Smoke Everclear® fog-free face shield included. (Pinlock® face shields sold separately)</li><li>Tool-less face shield removal system</li><li>Comm-Ready speaker pockets allow for easily installation of your favorite Bluetooth® communication system speakers</li><li>Optional Thinner and Thicker cheek pads available to help optimize fit (sold separately)</li><li>Reflective material incorporated into the cheek pads for increased night time visibility</li><li>Included solid neoprene aero skirt (chin curtain) helps reduce wind noise</li></ul>"
75-1652L,"The Creators of the original bad-ass Covert Motorcycle Helmet has now developed a full-face version, the Covert FX! The Covert FX displays the same edgy style and function that is expected from the ScorpionEXO® Covert Series.  However stylish the details may be, they have important function. Each helmet is carefully hand crafted using the latest Fiberglass, Aramid and Polyresin fibers which provide superior strength and extreme light weight. The low-profile shell has been aerodynamically tuned for motorcycle riding, minimizing both lift and turbulence for a smoother, quieter, and more stable ride. Integrated speaker pockets make it easy to install your favorite Bluetooth® communication device, while the KwikWick-C comfort Liner features a moisture wicking material that will keep you cool, dry and comfortable during your ride. ScorpionEXO® continues to set the standard when it comes to Value in a motorcycle helmet by including a Free Dark Smoke Shield, as well as a Clear shield, right out of the box. If you’re looking for a Stylish and Functional motorcycle helmet that’s perfect for both city commutes and long-distance touring, look no further than the Covert FX.

Features:
<ul><li>Extremely lightweight TCT-Ultra™ Composite shell provides superior strength and impact dispersal properties</li><li>CAD-refined aerodynamics result in a streamlined profile and balanced footprint, minimizing both lift and turbulence for a smoother, quieter, and more stable ride</li><li>Advanced multi-layer EPS provides superior energy absorption</li><li>Equipped with U.S. DOT Certification and the ECE 22.06 Safety standard, which requires a wider range of testing than the previous 22.05 certification</li><li>Aero-tuned ventilation system features closeable intake vents on top help force cool air in, while exhaust vents maximize movement of hot air out of the helmet</li><li>Dual Position mouth vent allows the 1st position to act as a defroster and 2nd position acts as defroster & ventilation (closeable from the inside)</li><li>Strategically placed channels throughout the EPS foam provide increased airflow</li><li>KwikWick® III Comfort Liner features a moisture wicking liner fabric that keeps you cool and dry in warm weather, and warm in cool weather. Liner Kit is easily removable and washable</li><li>KwikFit® 3D sculpted cheek pads accommodate most eyeglasses</li><li>Scorpion EXO’s face shield ratchet system pulls the shield securely against the eye port, ensuring a proper seal</li><li>EverClear® face shield offers state-of-the-art fog-free technology and 95% UV-A & UV-B protection</li><li>Optically superior face shield features a shatter resistant, Anti-Scratch hardened coating</li><li>FREE Additional Dark Smoke Everclear® fog-free face shield included. (Pinlock® face shields sold separately)</li><li>Tool-less face shield removal system</li><li>Comm-Ready speaker pockets allow for easily installation of your favorite Bluetooth® communication system speakers</li><li>Optional Thinner and Thicker cheek pads available to help optimize fit (sold separately)</li><li>Reflective material incorporated into the cheek pads for increased night time visibility</li><li>Included solid neoprene aero skirt (chin curtain) helps reduce wind noise</li></ul>"
75-1652M,"The Creators of the original bad-ass Covert Motorcycle Helmet has now developed a full-face version, the Covert FX! The Covert FX displays the same edgy style and function that is expected from the ScorpionEXO® Covert Series.  However stylish the details may be, they have important function. Each helmet is carefully hand crafted using the latest Fiberglass, Aramid and Polyresin fibers which provide superior strength and extreme light weight. The low-profile shell has been aerodynamically tuned for motorcycle riding, minimizing both lift and turbulence for a smoother, quieter, and more stable ride. Integrated speaker pockets make it easy to install your favorite Bluetooth® communication device, while the KwikWick-C comfort Liner features a moisture wicking material that will keep you cool, dry and comfortable during your ride. ScorpionEXO® continues to set the standard when it comes to Value in a motorcycle helmet by including a Free Dark Smoke Shield, as well as a Clear shield, right out of the box. If you’re looking for a Stylish and Functional motorcycle helmet that’s perfect for both city commutes and long-distance touring, look no further than the Covert FX.

Features:
<ul><li>Extremely lightweight TCT-Ultra™ Composite shell provides superior strength and impact dispersal properties</li><li>CAD-refined aerodynamics result in a streamlined profile and balanced footprint, minimizing both lift and turbulence for a smoother, quieter, and more stable ride</li><li>Advanced multi-layer EPS provides superior energy absorption</li><li>Equipped with U.S. DOT Certification and the ECE 22.06 Safety standard, which requires a wider range of testing than the previous 22.05 certification</li><li>Aero-tuned ventilation system features closeable intake vents on top help force cool air in, while exhaust vents maximize movement of hot air out of the helmet</li><li>Dual Position mouth vent allows the 1st position to act as a defroster and 2nd position acts as defroster & ventilation (closeable from the inside)</li><li>Strategically placed channels throughout the EPS foam provide increased airflow</li><li>KwikWick® III Comfort Liner features a moisture wicking liner fabric that keeps you cool and dry in warm weather, and warm in cool weather. Liner Kit is easily removable and washable</li><li>KwikFit® 3D sculpted cheek pads accommodate most eyeglasses</li><li>Scorpion EXO’s face shield ratchet system pulls the shield securely against the eye port, ensuring a proper seal</li><li>EverClear® face shield offers state-of-the-art fog-free technology and 95% UV-A & UV-B protection</li><li>Optically superior face shield features a shatter resistant, Anti-Scratch hardened coating</li><li>FREE Additional Dark Smoke Everclear® fog-free face shield included. (Pinlock® face shields sold separately)</li><li>Tool-less face shield removal system</li><li>Comm-Ready speaker pockets allow for easily installation of your favorite Bluetooth® communication system speakers</li><li>Optional Thinner and Thicker cheek pads available to help optimize fit (sold separately)</li><li>Reflective material incorporated into the cheek pads for increased night time visibility</li><li>Included solid neoprene aero skirt (chin curtain) helps reduce wind noise</li></ul>"
75-1652S,"The Creators of the original bad-ass Covert Motorcycle Helmet has now developed a full-face version, the Covert FX! The Covert FX displays the same edgy style and function that is expected from the ScorpionEXO® Covert Series.  However stylish the details may be, they have important function. Each helmet is carefully hand crafted using the latest Fiberglass, Aramid and Polyresin fibers which provide superior strength and extreme light weight. The low-profile shell has been aerodynamically tuned for motorcycle riding, minimizing both lift and turbulence for a smoother, quieter, and more stable ride. Integrated speaker pockets make it easy to install your favorite Bluetooth® communication device, while the KwikWick-C comfort Liner features a moisture wicking material that will keep you cool, dry and comfortable during your ride. ScorpionEXO® continues to set the standard when it comes to Value in a motorcycle helmet by including a Free Dark Smoke Shield, as well as a Clear shield, right out of the box. If you’re looking for a Stylish and Functional motorcycle helmet that’s perfect for both city commutes and long-distance touring, look no further than the Covert FX.

Features:
<ul><li>Extremely lightweight TCT-Ultra™ Composite shell provides superior strength and impact dispersal properties</li><li>CAD-refined aerodynamics result in a streamlined profile and balanced footprint, minimizing both lift and turbulence for a smoother, quieter, and more stable ride</li><li>Advanced multi-layer EPS provides superior energy absorption</li><li>Equipped with U.S. DOT Certification and the ECE 22.06 Safety standard, which requires a wider range of testing than the previous 22.05 certification</li><li>Aero-tuned ventilation system features closeable intake vents on top help force cool air in, while exhaust vents maximize movement of hot air out of the helmet</li><li>Dual Position mouth vent allows the 1st position to act as a defroster and 2nd position acts as defroster & ventilation (closeable from the inside)</li><li>Strategically placed channels throughout the EPS foam provide increased airflow</li><li>KwikWick® III Comfort Liner features a moisture wicking liner fabric that keeps you cool and dry in warm weather, and warm in cool weather. Liner Kit is easily removable and washable</li><li>KwikFit® 3D sculpted cheek pads accommodate most eyeglasses</li><li>Scorpion EXO’s face shield ratchet system pulls the shield securely against the eye port, ensuring a proper seal</li><li>EverClear® face shield offers state-of-the-art fog-free technology and 95% UV-A & UV-B protection</li><li>Optically superior face shield features a shatter resistant, Anti-Scratch hardened coating</li><li>FREE Additional Dark Smoke Everclear® fog-free face shield included. (Pinlock® face shields sold separately)</li><li>Tool-less face shield removal system</li><li>Comm-Ready speaker pockets allow for easily installation of your favorite Bluetooth® communication system speakers</li><li>Optional Thinner and Thicker cheek pads available to help optimize fit (sold separately)</li><li>Reflective material incorporated into the cheek pads for increased night time visibility</li><li>Included solid neoprene aero skirt (chin curtain) helps reduce wind noise</li></ul>"
